Case,Question,Predicted,Gold,Score
Case21,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case21,Q1,Yes,Yes,1
Case21,Q2,Yes,Yes,1
Case21,Q3,Yes,Yes,1
Case21,Q4,Yes,Yes,1
Case21,Q4_followup,"{'Does the patient’s clinical presentation match the criteria in those guidelines?': 'Yes', 'Which guideline(s) apply?': 'NCCN'}",Yes,0
Case21,Q5,Not required,Not required,1
Case21,Q6,No,No,1
Case21,Q7,Yes,Yes,1
Case21,Q8,No,No,1
Case21,Q9,Yes,Yes,1
Case21,Q9_followup,{'Does this patient have a relevant family history or consanguinity that aligns with the policy?': 'Yes'},Yes,0
Case21,Q10,No,No,1
Case21,Q10_followup,Risk Assessment,Risk Assessment,1
Case21,Q11,Yes,Yes,1
Case21,Q12,No,No,1
Case21,Q13,Yes,Yes,1
Case21,Q14,Yes,Yes,1
Case21,Q14_followup,"{'Please specify the CPT code.': '81211, 81212, 81213, 81214'}",81162,0
Case21,Q15,No,No,1
Case21,Q16,Yes,Yes,1
Case21,TOTAL,Correct: 17,Incorrect: 4,Accuracy: 80.95%
