Case,Question,Predicted,Gold,Score
Case25,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case25,Q1,Not specified,Yes,0
Case25,Q2,Not specified,Yes,0
Case25,Q3,Yes,Yes,1
Case25,Q4,No,Yes,0
Case25,Q5,Not required,Not required,1
Case25,Q6,No,No,1
Case25,Q7,Yes,Yes,1
Case25,Q8,No,No,1
Case25,Q9,Yes,Yes,1
Case25,Q9_followup,None,No,0
Case25,Q10,No,No,1
Case25,Q10_followup,None,Diagnostic,0
Case25,Q11,Not specified,Yes,0
Case25,Q12,No,No,1
Case25,Q13,Not specified,Yes,0
Case25,Q14,Not listed,Yes,0
Case25,Q15,Yes,Yes,1
Case25,Q16,Yes,Yes,1
Case25,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
