Case,Question,Predicted,Gold,Score
Case9,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case9,Q1,Not specified,Yes,0
Case9,Q2,Not specified,Yes,0
Case9,Q3,No,No,1
Case9,Q4,No,Yes,0
Case9,Q5,Not required,No,0
Case9,Q6,No,No,1
Case9,Q7,No,No,1
Case9,Q8,No,Yes,0
Case9,Q9,Not specified,Yes,0
Case9,Q10,No,Yes,0
Case9,Q11,Not specified,No,0
Case9,Q12,No,No,1
Case9,Q13,Not specified,Yes,0
Case9,Q14,Not listed,Yes,0
Case9,Q15,No,No,1
Case9,Q16,No,No,1
Case9,TOTAL,Correct: 7,Incorrect: 10,Accuracy: 41.18%
