Case,Question,Predicted,Gold,Score
Case17,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case17,Q1,Yes,Yes,1
Case17,Q2,No,No,1
Case17,Q3,No,No,1
Case17,Q4,No,Yes,0
Case17,Q5,No,No,1
Case17,Q6,No,No,1
Case17,Q7,No,No,1
Case17,Q8,Yes,Yes,1
Case17,Q8_followup,Chromosomal microarray (CMA),Targeted neurodevelopmental panel,0
Case17,Q9,Not specified,Yes,0
Case17,Q10,Yes,Yes,1
Case17,Q11,Not specified,No,0
Case17,Q12,No,No,1
Case17,Q13,Yes,Yes,1
Case17,Q14,Not listed,Yes,0
Case17,Q15,No,No,1
Case17,Q16,No,No,1
Case17,TOTAL,Correct: 13,Incorrect: 5,Accuracy: 72.22%
