Case,Question,Predicted,Gold,Score
Case31,Q0,BRCA1/2 testing,BRCA1/BRCA2 testing,1
Case31,Q1,Not specified,Yes,0
Case31,Q2,Not specified,Yes,0
Case31,Q3,No,Yes,0
Case31,Q4,Yes,Yes,1
Case31,Q4_followup,"{'match': 'No', 'guidelines': ['ASCO']}",Yes,0
Case31,Q5,Not required,Not required,1
Case31,Q6,No,No,1
Case31,Q7,No,Yes,0
Case31,Q8,No,No,1
Case31,Q9,Not specified,Yes,0
Case31,Q10,No,No,1
Case31,Q10_followup,Diagnostic,Diagnostic,1
Case31,Q11,Not specified,Yes,0
Case31,Q12,No,No,1
Case31,Q13,Not specified,Yes,0
Case31,Q14,No,Yes,0
Case31,Q15,No,No,1
Case31,Q16,No,Yes,0
Case31,TOTAL,Correct: 9,Incorrect: 10,Accuracy: 47.37%
