Case,question_id,Predicted,Gold,correct
Case5,Q0,Whole Exome Sequencing (WES) with trio testing,Whole Exome Sequencing (WES),0
Case5,Q1,Yes,Yes,1
Case5,Q2,Yes,Yes,1
Case5,Q3,Yes,Yes,1
Case5,Q4,Yes,Yes,1
Case5,Q4_followup,None,Yes,0
Case5,Q5,Yes,Yes,1
Case5,Q6,No,No,1
Case5,Q7,Yes,Yes,1
Case5,Q8,No,No,1
Case5,Q9,Yes,Yes,1
Case5,Q9_followup,None,Yes,0
Case5,Q10,No,No,1
Case5,Q10_followup,None,Diagnostic,0
Case5,Q11,Yes,No,0
Case5,Q12,Yes,No,0
Case5,Q13,Not specified,Yes,0
Case5,Q14,Yes,Yes,1
Case5,Q14_followup,None,81415,0
Case5,Q15,No,No,1
Case5,Q16,Yes,Yes,1
Case5,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
