Case,question_id,Predicted,Gold,correct
Case16,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case16,Q1,Yes,Yes,1
Case16,Q2,Yes,Yes,1
Case16,Q3,No,Yes,0
Case16,Q4,Yes,Yes,1
Case16,Q4_followup,None,Yes,0
Case16,Q5,Yes,Yes,1
Case16,Q6,No,No,1
Case16,Q7,No,Yes,0
Case16,Q8,No,No,1
Case16,Q9,Yes,Yes,1
Case16,Q9_followup,None,No,0
Case16,Q10,No,No,1
Case16,Q10_followup,None,Diagnostic,0
Case16,Q11,Yes,Yes,1
Case16,Q12,No,No,1
Case16,Q13,Not specified,Yes,0
Case16,Q14,Yes,Yes,1
Case16,Q14_followup,None,81425,0
Case16,Q15,No,No,1
Case16,Q16,No,Yes,0
Case16,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
