Case,question_id,Predicted,Gold,correct
Case48,Q0,Neuromuscular gene panel testing,Neuromuscular gene panel,1
Case48,Q1,Yes,Yes,1
Case48,Q2,No,No,1
Case48,Q3,No,No,1
Case48,Q4,Yes,Yes,1
Case48,Q4_followup,None,No,0
Case48,Q5,No,No,1
Case48,Q6,No,No,1
Case48,Q7,No,No,1
Case48,Q8,No,Yes,0
Case48,Q9,Yes,Yes,1
Case48,Q9_followup,None,No,0
Case48,Q10,No,Yes,0
Case48,Q11,Yes,No,0
Case48,Q12,No,No,1
Case48,Q13,Not specified,No,0
Case48,Q14,Yes,Yes,1
Case48,Q14_followup,None,81448,0
Case48,Q15,No,No,1
Case48,Q16,No,No,1
Case48,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
