Case,question_id,Predicted,Gold,correct
Case49,Q0,Cardiomyopathy gene panel testing,Cardiomyopathy gene panel,1
Case49,Q1,Yes,Yes,1
Case49,Q2,No,No,1
Case49,Q3,No,No,1
Case49,Q4,Yes,Yes,1
Case49,Q4_followup,None,No,0
Case49,Q5,Not required,Not required,1
Case49,Q6,No,No,1
Case49,Q7,No,No,1
Case49,Q8,No,Yes,0
Case49,Q9,Yes,Yes,1
Case49,Q9_followup,None,No,0
Case49,Q10,Yes,Yes,1
Case49,Q10_followup,None,Risk Assessment,0
Case49,Q11,Yes,No,0
Case49,Q12,No,No,1
Case49,Q13,Not specified,No,0
Case49,Q14,Yes,Yes,1
Case49,Q14_followup,None,81439,0
Case49,Q15,No,No,1
Case49,Q16,No,No,1
Case49,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
