Case,question_id,Predicted,Gold,correct
Case29,Q0,BRCA genetic testing,BRCA1/BRCA2 testing,0
Case29,Q1,Yes,Yes,1
Case29,Q2,Not specified,Yes,0
Case29,Q3,No,No,1
Case29,Q4,No,Yes,0
Case29,Q5,Not required,Not required,1
Case29,Q6,No,No,1
Case29,Q7,No,No,1
Case29,Q8,No,No,1
Case29,Q9,Yes,Yes,1
Case29,Q9_followup,None,No,0
Case29,Q10,No,Yes,0
Case29,Q11,Not specified,Yes,0
Case29,Q12,No,No,1
Case29,Q13,Not specified,Yes,0
Case29,Q14,Not listed,Yes,0
Case29,Q15,No,No,1
Case29,Q16,No,No,1
Case29,TOTAL,Correct: 10,Incorrect: 8,Accuracy: 55.56%
