Case,question_id,Predicted,Gold,correct
Case44,Q0,LQTS (Long QT Syndrome) gene panel testing,LQTS gene panel,0
Case44,Q1,Yes,Yes,1
Case44,Q2,Yes,Yes,1
Case44,Q3,Yes,Yes,1
Case44,Q4,No,Yes,0
Case44,Q5,Not required,Not required,1
Case44,Q6,No,No,1
Case44,Q7,Yes,Yes,1
Case44,Q8,No,No,1
Case44,Q9,Yes,Yes,1
Case44,Q9_followup,None,Yes,0
Case44,Q10,No,No,1
Case44,Q10_followup,None,Diagnostic,0
Case44,Q11,Yes,Yes,1
Case44,Q12,No,No,1
Case44,Q13,Not specified,Yes,0
Case44,Q14,Yes,Yes,1
Case44,Q14_followup,None,81413,0
Case44,Q15,No,Yes,0
Case44,Q16,Yes,Yes,1
Case44,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
