Case,Question,Predicted,Gold,Score
Case28,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case28,Q1,Yes,Yes,1
Case28,Q2,Not specified,Yes,0
Case28,Q3,No,No,1
Case28,Q4,Yes,Yes,1
Case28,Q4_followup,None,No,0
Case28,Q5,Not required,Not required,1
Case28,Q6,No,No,1
Case28,Q7,No,No,1
Case28,Q8,No,No,1
Case28,Q9,Yes,Yes,1
Case28,Q9_followup,None,No,0
Case28,Q10,Yes,Yes,1
Case28,Q10_followup,None,Risk Assessment,0
Case28,Q11,Not specified,Yes,0
Case28,Q12,No,No,1
Case28,Q13,Yes,Yes,1
Case28,Q14,Yes,Yes,1
Case28,Q14_followup,None,81162,0
Case28,Q15,No,No,1
Case28,Q16,No,No,1
Case28,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
