Case,Question,Predicted,Gold,Score
Case30,Q0,BRCA1 and BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case30,Q1,Yes,Yes,1
Case30,Q2,Not specified,No,0
Case30,Q3,No,No,1
Case30,Q4,Yes,Yes,1
Case30,Q4_followup,None,No,0
Case30,Q5,Not required,Not required,1
Case30,Q6,No,No,1
Case30,Q7,No,No,1
Case30,Q8,No,No,1
Case30,Q9,Yes,Yes,1
Case30,Q9_followup,None,No,0
Case30,Q10,Yes,Yes,1
Case30,Q11,Not specified,No,0
Case30,Q12,No,No,1
Case30,Q13,Yes,Yes,1
Case30,Q14,Yes,Yes,1
Case30,Q14_followup,None,81162,0
Case30,Q15,No,No,1
Case30,Q16,No,No,1
Case30,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
