Case,Question,Predicted,Gold,Score
Case3,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case3,Q1,Not specified,Yes,0
Case3,Q2,Yes,Yes,1
Case3,Q3,Yes,Yes,1
Case3,Q4,Yes,Yes,1
Case3,Q4_followup,None,Yes,0
Case3,Q5,Yes,Yes,1
Case3,Q6,No,No,1
Case3,Q7,Yes,Yes,1
Case3,Q8,No,No,1
Case3,Q9,Yes,Yes,1
Case3,Q9_followup,None,Yes,0
Case3,Q10,No,No,1
Case3,Q10_followup,None,Diagnostic,0
Case3,Q11,Not specified,Yes,0
Case3,Q12,Not specified,No,0
Case3,Q13,Yes,Yes,1
Case3,Q14,Yes,Yes,1
Case3,Q14_followup,None,81415,0
Case3,Q15,No,No,1
Case3,Q16,Yes,Yes,1
Case3,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
