Case,Question,Predicted,Gold,Score
Case8,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case8,Q1,Not specified,Yes,0
Case8,Q2,Yes,Yes,1
Case8,Q3,Yes,No,0
Case8,Q4,Yes,Yes,1
Case8,Q4_followup,None,No,0
Case8,Q5,Not required,No,0
Case8,Q6,No,No,1
Case8,Q7,Yes,No,0
Case8,Q8,No,Yes,0
Case8,Q9,Yes,Yes,1
Case8,Q9_followup,None,No,0
Case8,Q10,No,Yes,0
Case8,Q11,Not specified,No,0
Case8,Q12,No,No,1
Case8,Q13,Not specified,Yes,0
Case8,Q14,Not listed,Yes,0
Case8,Q15,No,No,1
Case8,Q16,Yes,No,0
Case8,TOTAL,Correct: 7,Incorrect: 12,Accuracy: 36.84%
