Case,Question,Predicted,Gold,Score
Case9,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case9,Q1,Yes,Yes,1
Case9,Q2,Yes,Yes,1
Case9,Q3,Yes,No,0
Case9,Q4,Yes,Yes,1
Case9,Q4_followup,None,No,0
Case9,Q5,Not specified,No,0
Case9,Q6,No,No,1
Case9,Q7,Yes,No,0
Case9,Q8,Yes,Yes,1
Case9,Q8_followup,None,"Developmental delay gene panel, chromosomal microarray (CMA)",0
Case9,Q9,Yes,Yes,1
Case9,Q9_followup,None,No,0
Case9,Q10,No,Yes,0
Case9,Q11,Yes,No,0
Case9,Q12,Not specified,No,0
Case9,Q13,Yes,Yes,1
Case9,Q14,Yes,Yes,1
Case9,Q14_followup,None,81415,0
Case9,Q15,No,No,1
Case9,Q16,No,No,1
Case9,TOTAL,Correct: 11,Incorrect: 10,Accuracy: 52.38%
