Case,question_id,Predicted,Gold,correct
Case25,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case25,Q1,Yes,Yes,1
Case25,Q2,Yes,Yes,1
Case25,Q3,No,Yes,0
Case25,Q4,No,Yes,0
Case25,Q5,Not required,Not required,1
Case25,Q6,No,No,1
Case25,Q7,No,Yes,0
Case25,Q8,No,No,1
Case25,Q9,Not specified,Yes,0
Case25,Q10,No,No,1
Case25,Q10_followup,None,Diagnostic,0
Case25,Q11,Not specified,Yes,0
Case25,Q12,No,No,1
Case25,Q13,Not specified,Yes,0
Case25,Q14,Not listed,Yes,0
Case25,Q15,No,Yes,0
Case25,Q16,No,Yes,0
Case25,TOTAL,Correct: 7,Incorrect: 11,Accuracy: 38.89%
