Case,question_id,Predicted,Gold,correct
Case41,Q0,Limb-girdle muscular dystrophy panel,limb-girdle muscular dystrophy (LGMD) gene panel,1
Case41,Q1,Yes,Yes,1
Case41,Q2,Yes,Yes,1
Case41,Q3,Yes,Yes,1
Case41,Q4,Yes,Yes,1
Case41,Q4_followup,None,Yes,0
Case41,Q5,Not required,Not required,1
Case41,Q6,No,No,1
Case41,Q7,Yes,Yes,1
Case41,Q8,No,No,1
Case41,Q9,Yes,Yes,1
Case41,Q9_followup,None,Yes,0
Case41,Q10,No,No,1
Case41,Q10_followup,None,Diagnostic,0
Case41,Q11,Not specified,Yes,0
Case41,Q12,No,No,1
Case41,Q13,Not specified,Yes,0
Case41,Q14,Yes,Yes,1
Case41,Q14_followup,None,"81412, 81448",0
Case41,Q15,No,Yes,0
Case41,Q16,Yes,Yes,1
Case41,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
