Case,question_id,Predicted,Gold,correct
Case28,Q0,BRCA genetic testing (BRCA1/2 testing) for hereditary breast and ovarian cancer risk assessment.,BRCA1/BRCA2 testing,0
Case28,Q1,Yes,Yes,1
Case28,Q2,Not specified,Yes,0
Case28,Q3,No,No,1
Case28,Q4,Yes,Yes,1
Case28,Q4_followup,None,No,0
Case28,Q5,Not required,Not required,1
Case28,Q6,No,No,1
Case28,Q7,No,No,1
Case28,Q8,No,No,1
Case28,Q9,Yes,Yes,1
Case28,Q9_followup,None,No,0
Case28,Q10,No,Yes,0
Case28,Q11,Not specified,Yes,0
Case28,Q12,No,No,1
Case28,Q13,Not specified,Yes,0
Case28,Q14,Not listed,Yes,0
Case28,Q15,No,No,1
Case28,Q16,No,No,1
Case28,TOTAL,Correct: 11,Incorrect: 8,Accuracy: 57.89%
