Case,question_id,Predicted,Gold,correct
Case24,Q0,BRCA1/2 and multigene panel testing for breast cancer susceptibility,BRCA1/BRCA2 testing,0
Case24,Q1,Yes,Yes,1
Case24,Q2,Not specified,Yes,0
Case24,Q3,Yes,Yes,1
Case24,Q4,Yes,Yes,1
Case24,Q4_followup,None,Yes,0
Case24,Q5,Not required,Not required,1
Case24,Q6,No,No,1
Case24,Q7,Yes,Yes,1
Case24,Q8,No,No,1
Case24,Q9,Yes,Yes,1
Case24,Q9_followup,None,Yes,0
Case24,Q10,No,No,1
Case24,Q10_followup,None,Diagnostic,0
Case24,Q11,Yes,Yes,1
Case24,Q12,No,No,1
Case24,Q13,Yes,Yes,1
Case24,Q14,Yes,Yes,1
Case24,Q14_followup,None,81162,0
Case24,Q15,No,Yes,0
Case24,Q16,Yes,Yes,1
Case24,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
