Case,question_id,Predicted,Gold,correct
Case30,Q0,BRCA genetic testing,BRCA1/BRCA2 testing,0
Case30,Q1,Yes,Yes,1
Case30,Q2,Not specified,No,0
Case30,Q3,No,No,1
Case30,Q4,No,Yes,0
Case30,Q5,Not required,Not required,1
Case30,Q6,No,No,1
Case30,Q7,No,No,1
Case30,Q8,No,No,1
Case30,Q9,Yes,Yes,1
Case30,Q9_followup,None,No,0
Case30,Q10,No,Yes,0
Case30,Q11,No,No,1
Case30,Q12,No,No,1
Case30,Q13,Not specified,Yes,0
Case30,Q14,Not listed,Yes,0
Case30,Q15,No,No,1
Case30,Q16,No,No,1
Case30,TOTAL,Correct: 11,Incorrect: 7,Accuracy: 61.11%
