Case,Question,Predicted,Gold,Score
Case49,Q0,Cardiomyopathy gene panel testing,Cardiomyopathy gene panel,1
Case49,Q1,Yes,Yes,1
Case49,Q2,No,No,1
Case49,Q3,No,No,1
Case49,Q4,Yes,Yes,1
Case49,Q4_followup,None,No,0
Case49,Q5,No,Not required,0
Case49,Q6,No,No,1
Case49,Q7,No,No,1
Case49,Q8,No,Yes,0
Case49,Q9,Yes,Yes,1
Case49,Q9_followup,None,No,0
Case49,Q10,Yes,Yes,1
Case49,Q10_followup,None,Risk Assessment,0
Case49,Q11,Yes,No,0
Case49,Q12,No,No,1
Case49,Q13,Not specified,No,0
Case49,Q14,Not listed,Yes,0
Case49,Q15,No,No,1
Case49,Q16,No,No,1
Case49,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
