Case,Question,Predicted,Gold,Score
Case14,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case14,Q1,Yes,Yes,1
Case14,Q2,Yes,Yes,1
Case14,Q3,No,Yes,0
Case14,Q4,Yes,Yes,1
Case14,Q4_followup,None,Yes,0
Case14,Q5,Yes,Yes,1
Case14,Q6,Yes,No,0
Case14,Q7,No,Yes,0
Case14,Q8,Yes,No,0
Case14,Q9,Yes,Yes,1
Case14,Q9_followup,None,Yes,0
Case14,Q10,No,No,1
Case14,Q10_followup,None,Diagnostic,0
Case14,Q11,Yes,Yes,1
Case14,Q12,No,No,1
Case14,Q13,Not specified,Yes,0
Case14,Q14,Yes,Yes,1
Case14,Q14_followup,None,81425,0
Case14,Q15,No,No,1
Case14,Q16,No,Yes,0
Case14,TOTAL,Correct: 11,Incorrect: 10,Accuracy: 52.38%
