Case,Question,Predicted,Gold,Score
Case45,Q0,DMD gene testing (Duchenne muscular dystrophy genetic testing),DMD gene panel,0
Case45,Q1,Yes,Yes,1
Case45,Q2,Yes,Yes,1
Case45,Q3,Yes,Yes,1
Case45,Q4,Yes,Yes,1
Case45,Q4_followup,None,Yes,0
Case45,Q5,Not required,Not required,1
Case45,Q6,No,No,1
Case45,Q7,Yes,Yes,1
Case45,Q8,No,No,1
Case45,Q9,Yes,Yes,1
Case45,Q9_followup,None,Yes,0
Case45,Q10,No,No,1
Case45,Q10_followup,None,Diagnostic,0
Case45,Q11,Yes,Yes,1
Case45,Q12,No,No,1
Case45,Q13,Not specified,Yes,0
Case45,Q14,Yes,Yes,1
Case45,Q14_followup,None,"81161, 81408",0
Case45,Q15,No,Yes,0
Case45,Q16,Yes,Yes,1
Case45,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
