Case,Question,Predicted,Gold,Score
Case19,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case19,Q1,Yes,Yes,1
Case19,Q2,Not specified,Yes,0
Case19,Q3,No,No,1
Case19,Q4,Yes,Yes,1
Case19,Q4_followup,None,No,0
Case19,Q5,No,No,1
Case19,Q6,No,No,1
Case19,Q7,No,No,1
Case19,Q8,Yes,Yes,1
Case19,Q8_followup,None,chromosomal microarray (CMA),0
Case19,Q9,Yes,Yes,1
Case19,Q9_followup,None,No,0
Case19,Q10,No,Yes,0
Case19,Q11,Yes,Yes,1
Case19,Q12,No,No,1
Case19,Q13,Yes,Yes,1
Case19,Q14,No,Yes,0
Case19,Q15,No,No,1
Case19,Q16,No,No,1
Case19,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
