Case,Question,Predicted,Gold,Score
Case43,Q0,Cardiomyopathy gene panel (comprehensive genetic testing for idiopathic dilated cardiomyopathy).,cardiomyopathy gene panel,0
Case43,Q1,Yes,Yes,1
Case43,Q2,Yes,Yes,1
Case43,Q3,Yes,Yes,1
Case43,Q4,Yes,Yes,1
Case43,Q4_followup,None,Yes,0
Case43,Q5,Yes,Not required,0
Case43,Q6,No,No,1
Case43,Q7,Yes,Yes,1
Case43,Q8,No,No,1
Case43,Q9,Yes,Yes,1
Case43,Q9_followup,None,Yes,0
Case43,Q10,No,No,1
Case43,Q10_followup,None,Diagnostic,0
Case43,Q11,Not specified,Yes,0
Case43,Q12,No,No,1
Case43,Q13,Not specified,Yes,0
Case43,Q14,Yes,Yes,1
Case43,Q14_followup,None,81439,0
Case43,Q15,No,Yes,0
Case43,Q16,Yes,Yes,1
Case43,TOTAL,Correct: 12,Incorrect: 9,Accuracy: 57.14%
