Case,Question,Predicted,Gold,Score
Case34,Q0,BRCA genetic testing (BRCA1 and BRCA2) for hereditary breast/ovarian cancer risk assessment.,BRCA1/BRCA2 testing,0
Case34,Q1,Yes,Yes,1
Case34,Q2,No,No,1
Case34,Q3,No,No,1
Case34,Q4,Yes,Yes,1
Case34,Q4_followup,None,No,0
Case34,Q5,Not required,Not required,1
Case34,Q6,No,No,1
Case34,Q7,No,No,1
Case34,Q8,No,No,1
Case34,Q9,Yes,Yes,1
Case34,Q9_followup,None,No,0
Case34,Q10,Yes,Yes,1
Case34,Q11,Yes,No,0
Case34,Q12,No,No,1
Case34,Q13,Not specified,Yes,0
Case34,Q14,Yes,Yes,1
Case34,Q14_followup,None,81162,0
Case34,Q15,No,No,1
Case34,Q16,No,No,1
Case34,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
