Case,Question,Predicted,Gold,Score
Case22,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case22,Q1,Yes,Yes,1
Case22,Q2,Yes,Yes,1
Case22,Q3,No,No,1
Case22,Q4,Yes,Yes,1
Case22,Q4_followup,None,No,0
Case22,Q5,Not required,Not required,1
Case22,Q6,No,No,1
Case22,Q7,No,No,1
Case22,Q8,No,No,1
Case22,Q9,Yes,Yes,1
Case22,Q9_followup,None,No,0
Case22,Q10,Yes,Yes,1
Case22,Q11,Yes,Yes,1
Case22,Q12,No,No,1
Case22,Q13,Not specified,Yes,0
Case22,Q14,Not listed,Yes,0
Case22,Q15,No,No,1
Case22,Q16,No,No,1
Case22,TOTAL,Correct: 14,Incorrect: 5,Accuracy: 73.68%
