Case,Question,Predicted,Gold,Score
Case47,Q0,Genetic arrhythmia panel testing,Arrhythmia gene panel,0
Case47,Q1,Not specified,Yes,0
Case47,Q2,Not specified,No,0
Case47,Q3,No,No,1
Case47,Q4,Yes,Yes,1
Case47,Q4_followup,None,No,0
Case47,Q5,Not specified,Not required,0
Case47,Q6,No,No,1
Case47,Q7,No,No,1
Case47,Q8,Yes,Yes,1
Case47,Q8_followup,None,Single gene testing,0
Case47,Q9,Yes,Yes,1
Case47,Q9_followup,None,No,0
Case47,Q10,Yes,Yes,1
Case47,Q10_followup,None,Risk Assessment,0
Case47,Q11,Yes,No,0
Case47,Q12,Not specified,No,0
Case47,Q13,Not specified,No,0
Case47,Q14,Not listed,Yes,0
Case47,Q15,No,No,1
Case47,Q16,No,No,1
Case47,TOTAL,Correct: 9,Incorrect: 12,Accuracy: 42.86%
