Case,Question,Predicted,Gold,Score
Case39,Q0,Long QT syndrome (LQTS) gene panel testing,LQTS gene panel,0
Case39,Q1,Not specified,Yes,0
Case39,Q2,Not specified,Yes,0
Case39,Q3,Yes,Yes,1
Case39,Q4,No,Yes,0
Case39,Q5,Not required,Not required,1
Case39,Q6,No,No,1
Case39,Q7,Yes,Yes,1
Case39,Q8,No,No,1
Case39,Q9,Yes,Yes,1
Case39,Q9_followup,None,Yes,0
Case39,Q10,No,No,1
Case39,Q10_followup,None,Diagnostic,0
Case39,Q11,Not specified,Yes,0
Case39,Q12,No,No,1
Case39,Q13,Not specified,Yes,0
Case39,Q14,Not listed,Yes,0
Case39,Q15,No,Yes,0
Case39,Q16,Yes,Yes,1
Case39,TOTAL,Correct: 9,Incorrect: 10,Accuracy: 47.37%
