Case,Question,Predicted,Gold,Score
Case4,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case4,Q1,Not specified,Yes,0
Case4,Q2,Yes,Yes,1
Case4,Q3,Yes,Yes,1
Case4,Q4,No,Yes,0
Case4,Q5,Yes,Yes,1
Case4,Q6,No,No,1
Case4,Q7,Yes,Yes,1
Case4,Q8,No,Yes,0
Case4,Q9,Not specified,Yes,0
Case4,Q10,No,No,1
Case4,Q10_followup,Diagnostic,Diagnostic,1
Case4,Q11,Not specified,Yes,0
Case4,Q12,Not specified,No,0
Case4,Q13,Not specified,Yes,0
Case4,Q14,Not listed,Yes,0
Case4,Q15,No,No,1
Case4,Q16,Not specified,No,0
Case4,TOTAL,Correct: 9,Incorrect: 9,Accuracy: 50.00%
