Case,Question,Predicted,Gold,Score
Case8,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case8,Q1,Not specified,Yes,0
Case8,Q2,Yes,Yes,1
Case8,Q3,No,No,1
Case8,Q4,No,Yes,0
Case8,Q5,Not specified,No,0
Case8,Q6,No,No,1
Case8,Q7,No,No,1
Case8,Q8,Yes,Yes,1
Case8,Q8_followup,Targeted gene panel or chromosomal microarray (CMA),Neurodevelopmental gene panel,0
Case8,Q9,Not specified,Yes,0
Case8,Q10,No,Yes,0
Case8,Q11,Not specified,No,0
Case8,Q12,Not specified,No,0
Case8,Q13,Not specified,Yes,0
Case8,Q14,Not listed,Yes,0
Case8,Q15,No,No,1
Case8,Q16,No,No,1
Case8,TOTAL,Correct: 8,Incorrect: 10,Accuracy: 44.44%
