Case,Question,Predicted,Gold,Score
Case27,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case27,Q1,No,No,1
Case27,Q2,Not specified,Yes,0
Case27,Q3,No,No,1
Case27,Q4,Yes,Yes,1
Case27,Q4_followup,None,No,0
Case27,Q5,Not required,Not required,1
Case27,Q6,No,No,1
Case27,Q7,No,Yes,0
Case27,Q8,No,No,1
Case27,Q9,Yes,Yes,1
Case27,Q9_followup,None,No,0
Case27,Q10,No,No,1
Case27,Q10_followup,None,Diagnostic,0
Case27,Q11,Not specified,Yes,0
Case27,Q12,No,No,1
Case27,Q13,Not specified,Yes,0
Case27,Q14,Not listed,Yes,0
Case27,Q15,No,No,1
Case27,Q16,No,No,1
Case27,TOTAL,Correct: 11,Incorrect: 9,Accuracy: 55.00%
