Case,Question,Predicted,Gold,Score
Case31,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case31,Q1,Yes,Yes,1
Case31,Q2,Not specified,Yes,0
Case31,Q3,Yes,Yes,1
Case31,Q4,Yes,Yes,1
Case31,Q4_followup,None,Yes,0
Case31,Q5,Not required,Not required,1
Case31,Q6,No,No,1
Case31,Q7,Yes,Yes,1
Case31,Q8,No,No,1
Case31,Q9,Yes,Yes,1
Case31,Q9_followup,None,Yes,0
Case31,Q10,No,No,1
Case31,Q10_followup,None,Diagnostic,0
Case31,Q11,Not specified,Yes,0
Case31,Q12,No,No,1
Case31,Q13,Not specified,Yes,0
Case31,Q14,Not listed,Yes,0
Case31,Q15,No,No,1
Case31,Q16,Yes,Yes,1
Case31,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
