Case,Question,Predicted,Gold,Score
Case14,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case14,Q1,Not specified,Yes,0
Case14,Q2,Yes,Yes,1
Case14,Q3,Yes,Yes,1
Case14,Q4,No,Yes,0
Case14,Q5,Yes,Yes,1
Case14,Q6,No,No,1
Case14,Q7,Yes,Yes,1
Case14,Q8,No,No,1
Case14,Q9,Not specified,Yes,0
Case14,Q10,No,No,1
Case14,Q10_followup,Diagnostic,Diagnostic,1
Case14,Q11,Not specified,Yes,0
Case14,Q12,Not specified,No,0
Case14,Q13,Not specified,Yes,0
Case14,Q14,Not listed,Yes,0
Case14,Q15,No,No,1
Case14,Q16,No,Yes,0
Case14,TOTAL,Correct: 10,Incorrect: 8,Accuracy: 55.56%
