Case,Question,Predicted,Gold,Score
Case26,Q0,BRCA genetic testing,BRCA1/BRCA2 testing,0
Case26,Q1,Yes,Yes,1
Case26,Q2,Not specified,Yes,0
Case26,Q3,Yes,Yes,1
Case26,Q4,Yes,Yes,1
Case26,Q4_followup,None,Yes,0
Case26,Q5,Not required,Not required,1
Case26,Q6,No,No,1
Case26,Q7,Yes,Yes,1
Case26,Q8,No,No,1
Case26,Q9,Yes,Yes,1
Case26,Q9_followup,None,Yes,0
Case26,Q10,No,No,1
Case26,Q10_followup,None,Risk Assessment,0
Case26,Q11,Yes,Yes,1
Case26,Q12,Not specified,No,0
Case26,Q13,Not specified,Yes,0
Case26,Q14,Not listed,Yes,0
Case26,Q15,Yes,No,0
Case26,Q16,Yes,Yes,1
Case26,TOTAL,Correct: 11,Incorrect: 9,Accuracy: 55.00%
