Case,Question,Predicted,Gold,Score
Case3,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case3,Q1,Not specified,Yes,0
Case3,Q2,Yes,Yes,1
Case3,Q3,Yes,Yes,1
Case3,Q4,No,Yes,0
Case3,Q5,Yes,Yes,1
Case3,Q6,No,No,1
Case3,Q7,Yes,Yes,1
Case3,Q8,No,No,1
Case3,Q9,Not specified,Yes,0
Case3,Q10,No,No,1
Case3,Q10_followup,Diagnostic,Diagnostic,1
Case3,Q11,Not specified,Yes,0
Case3,Q12,Not specified,No,0
Case3,Q13,Not specified,Yes,0
Case3,Q14,Not listed,Yes,0
Case3,Q15,No,No,1
Case3,Q16,Yes,Yes,1
Case3,TOTAL,Correct: 11,Incorrect: 7,Accuracy: 61.11%
