Case,Question,Predicted,Gold,Score
Case27,Q0,BRCA1/2 testing,BRCA1/BRCA2 testing,1
Case27,Q1,Yes,No,0
Case27,Q2,Not specified,Yes,0
Case27,Q3,Yes,No,0
Case27,Q4,Yes,Yes,1
Case27,Q4_followup,"{'patient_clinical_presentation_matches_criteria': 'Yes', 'guidelines': 'NCCN'}",No,0
Case27,Q5,Not required,Not required,1
Case27,Q6,No,No,1
Case27,Q7,Yes,Yes,1
Case27,Q8,No,No,1
Case27,Q9,Yes,Yes,1
Case27,Q9_followup,{'patient_has_relevant_family_history': 'No'},No,0
Case27,Q10,No,No,1
Case27,Q10_followup,Risk Assessment,Diagnostic,0
Case27,Q11,Not specified,Yes,0
Case27,Q12,No,No,1
Case27,Q13,Yes,Yes,1
Case27,Q14,Yes,Yes,1
Case27,Q14_followup,{'CPT_code': '81162'},81162,0
Case27,Q15,No,No,1
Case27,Q16,Yes,No,0
Case27,TOTAL,Correct: 12,Incorrect: 9,Accuracy: 57.14%
