Case,Question,Predicted,Gold,Score
Case12,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case12,Q1,Not specified,Yes,0
Case12,Q2,Yes,No,0
Case12,Q3,No,No,1
Case12,Q4,Yes,Yes,1
Case12,Q4_followup,"{'guideline_match': 'No', 'guideline': 'None of the above'}",No,0
Case12,Q5,Not required,No,0
Case12,Q6,No,No,1
Case12,Q7,No,No,1
Case12,Q8,Yes,Yes,1
Case12,Q8_followup,{'alternative_test': 'Single gene or multi-gene panel testing for known causative genes'},Inherited retinal disorder gene panel,0
Case12,Q9,Not specified,Yes,0
Case12,Q10,No,Yes,0
Case12,Q11,Not specified,No,0
Case12,Q12,No,No,1
Case12,Q13,Not specified,Yes,0
Case12,Q14,Not listed,Yes,0
Case12,Q15,No,No,1
Case12,Q16,No,No,1
Case12,TOTAL,Correct: 9,Incorrect: 10,Accuracy: 47.37%
