Case,Question,Predicted,Gold,Score
Case4,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case4,Q1,Yes,Yes,1
Case4,Q2,Yes,Yes,1
Case4,Q3,Yes,Yes,1
Case4,Q4,Yes,Yes,1
Case4,Q4_followup,"{'guideline_match': 'Yes', 'guideline': 'ACMG'}",Yes,0
Case4,Q5,Yes,Yes,1
Case4,Q6,No,No,1
Case4,Q7,Yes,Yes,1
Case4,Q8,No,Yes,0
Case4,Q9,Yes,Yes,1
Case4,Q9_followup,{'family_history_match': 'Yes'},Yes,0
Case4,Q10,No,No,1
Case4,Q10_followup,Diagnostic,Diagnostic,1
Case4,Q11,Yes,Yes,1
Case4,Q12,No,No,1
Case4,Q13,Not specified,Yes,0
Case4,Q14,Yes,Yes,1
Case4,Q14_followup,{'CPT_code': '81415'},81415,0
Case4,Q15,No,No,1
Case4,Q16,Yes,No,0
Case4,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
