Case,Question,Predicted,Gold,Score
Case43,Q0,Cardiomyopathy gene panel,cardiomyopathy gene panel,1
Case43,Q1,Not specified,Yes,0
Case43,Q2,Not specified,Yes,0
Case43,Q3,Yes,Yes,1
Case43,Q4,No,Yes,0
Case43,Q5,Yes,Not required,0
Case43,Q6,No,No,1
Case43,Q7,Yes,Yes,1
Case43,Q8,No,No,1
Case43,Q9,Yes,Yes,1
Case43,Q9_followup,Yes,Yes,1
Case43,Q10,No,No,1
Case43,Q10_followup,Diagnostic,Diagnostic,1
Case43,Q11,Not specified,Yes,0
Case43,Q12,No,No,1
Case43,Q13,Not specified,Yes,0
Case43,Q14,Yes,Yes,1
Case43,Q14_followup,81439,81439,1
Case43,Q15,No,Yes,0
Case43,Q16,Yes,Yes,1
Case43,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
