Case,Question,Predicted,Gold,Score
Case18,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case18,Q1,Yes,Yes,1
Case18,Q2,No,No,1
Case18,Q3,No,No,1
Case18,Q4,Yes,Yes,1
Case18,Q4_followup,None,No,0
Case18,Q5,No,No,1
Case18,Q6,No,No,1
Case18,Q7,No,No,1
Case18,Q8,Yes,Yes,1
Case18,Q8_followup,None,chromosomal microarray (CMA),0
Case18,Q9,Yes,Yes,1
Case18,Q9_followup,None,No,0
Case18,Q10,No,Yes,0
Case18,Q11,Yes,No,0
Case18,Q12,No,No,1
Case18,Q13,Not specified,Yes,0
Case18,Q14,No,Yes,0
Case18,Q15,No,No,1
Case18,Q16,No,No,1
Case18,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
