Case,question_id,Predicted,Gold,correct
Case29,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case29,Q1,Not specified,Yes,0
Case29,Q2,Not specified,Yes,0
Case29,Q3,No,No,1
Case29,Q4,No,Yes,0
Case29,Q5,Not required,Not required,1
Case29,Q6,No,No,1
Case29,Q7,No,No,1
Case29,Q8,Yes,No,0
Case29,Q9,Not specified,Yes,0
Case29,Q10,No,Yes,0
Case29,Q11,Not specified,Yes,0
Case29,Q12,No,No,1
Case29,Q13,Not specified,Yes,0
Case29,Q14,Not listed,Yes,0
Case29,Q15,No,No,1
Case29,Q16,No,No,1
Case29,TOTAL,Correct: 7,Incorrect: 10,Accuracy: 41.18%
