Case,question_id,Predicted,Gold,correct
Case15,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case15,Q1,Not specified,Yes,0
Case15,Q2,Yes,Yes,1
Case15,Q3,Yes,Yes,1
Case15,Q4,Yes,Yes,1
Case15,Q4_followup,"{'clinical_presentation_matches_criteria': 'Yes', 'guidelines_apply': 'None of the above'}",Yes,0
Case15,Q5,Yes,Yes,1
Case15,Q6,No,No,1
Case15,Q7,Yes,Yes,1
Case15,Q8,No,No,1
Case15,Q9,Not specified,Yes,0
Case15,Q10,No,No,1
Case15,Q10_followup,Diagnostic,Diagnostic,1
Case15,Q11,Yes,Yes,1
Case15,Q12,No,No,1
Case15,Q13,Not specified,Yes,0
Case15,Q14,No,Yes,0
Case15,Q15,No,No,1
Case15,Q16,Yes,Yes,1
Case15,TOTAL,Correct: 14,Incorrect: 5,Accuracy: 73.68%
