Case,question_id,Predicted,Gold,correct
Case12,Q0,Genetic testing of NOTCH3 for CADASIL syndrome,Whole Exome Sequencing (WES),0
Case12,Q1,Not specified,Yes,0
Case12,Q2,Not specified,No,0
Case12,Q3,No,No,1
Case12,Q4,Yes,Yes,1
Case12,Q4_followup,None,No,0
Case12,Q5,Not required,No,0
Case12,Q6,No,No,1
Case12,Q7,No,No,1
Case12,Q8,Yes,Yes,1
Case12,Q8_followup,None,Inherited retinal disorder gene panel,0
Case12,Q9,Yes,Yes,1
Case12,Q9_followup,None,No,0
Case12,Q10,No,Yes,0
Case12,Q11,Yes,No,0
Case12,Q12,No,No,1
Case12,Q13,Not specified,Yes,0
Case12,Q14,Yes,Yes,1
Case12,Q14_followup,None,81415,0
Case12,Q15,No,No,1
Case12,Q16,No,No,1
Case12,TOTAL,Correct: 10,Incorrect: 11,Accuracy: 47.62%
