Case,question_id,Predicted,Gold,correct
Case9,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case9,Q1,Yes,Yes,1
Case9,Q2,Yes,Yes,1
Case9,Q3,No,No,1
Case9,Q4,Yes,Yes,1
Case9,Q4_followup,None,No,0
Case9,Q5,Not required,No,0
Case9,Q6,No,No,1
Case9,Q7,No,No,1
Case9,Q8,Yes,Yes,1
Case9,Q8_followup,None,"Developmental delay gene panel, chromosomal microarray (CMA)",0
Case9,Q9,Not specified,Yes,0
Case9,Q10,Yes,Yes,1
Case9,Q11,Yes,No,0
Case9,Q12,No,No,1
Case9,Q13,Not specified,Yes,0
Case9,Q14,Yes,Yes,1
Case9,Q14_followup,None,81415,0
Case9,Q15,No,No,1
Case9,Q16,No,No,1
Case9,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
